"№","Наименование","Ед. изм.","Сухие в-ва","Калорийность"
"178","Грибы Шиитаке сушеные","кг","87","293.6"
"179","Грибы белые маринованные","кг","16.1","41.4"
"180","Грибы древесные черные сушеные (Китай)","кг","87","293.6"
"181","Грибы опята маринованные","кг","16.1","41.4"
"182","Грибы сморчки сушеные (Китай)","кг","87","163.5"
"183","Грибы сушеные (Ассорти)","кг","87","154"
"184","Грибы устричные свежие или с/м","кг","9","26.6"
"185","Грибы шампиньоны маринованные","кг","16.1","41.4"
"186","Грудинка свиная копчено-запеченная","кг","66.2","514.3"
"187","Груша в сиропе","кг","17.2","60.4"
"188","Груша свежая","кг","15","42.3"
"189","Груша сушеная","кг","76","205.2"
"190","Гусь целый (обработанная тушка 1 категории)","кг","55","411.8"
"191","Дайкон","кг","8.699999999999999","21.2"
"192","Джем из абрикосов","кг","74.09999999999999","277.2"
"193","Джем из апельсинов","кг","73.90000000000001","272.4"
"194","Джем из вишни","кг","67","265"
"195","Джем из малины","кг","60.8","240.2"
"196","Джем из черной смородины","кг","76.7","275.2"
"197","Джин","л","31.7","0"
"198","Дорадо тушки","кг","21.1","87"
"199","Драже сахарное","кг","98.40000000000001","392"
"200","Дрожжи прессованные","кг","26","75.09999999999999"
"201","Дрожжи сухие","кг","95","169.9"
"202","Дыня","кг","11.5","38.8"
"203","Ежевика","кг","12","25.6"
"204","Желатин листовой","кг","89","344.5"
"205","Желатин пищевой","кг","90","355.2"
"206","Желе из красной смородины","кг","73","285.6"
"207","Жир бараний (Курдючный)","кг","94.3","840.8"
"208","Жир говяжий (сырец)","кг","99.7","897.3"
"209","Жир кондитерский для шоколадных изделий, конфет и пищевых концентратов","кг","99.7","897.3"
"210","Жир свиной","кг","99.7","897.3"
"211","Жир утиный","кг","99.8","897.3"
"212","Жировая сетка (Прятине)","кг","94.3","867.8"
"213","Заяц тушка обработанный","кг","33.3","183.4"
"214","Зелень Кинза (Кориандр)","кг","11.5","32.8"
"215","Зелень Крапива","кг","11.5","32.8"
"216","Зелень Мята","кг","13.6","42.7"
"217","Зелень Петрушка","кг","15","50.4"
"218","Зелень Розмарин","кг","11.5","32.8"
"219","Зелень Руккола","кг","11.5","32.8"
"220","Зелень Салат","кг","6","17"
"221","Зелень Тимьян","кг","11.5","32.8"
"222","Зелень Укроп","кг","13.5","30.9"
"223","Зелень Шалфей","кг","11.5","32.8"
"224","Зелень Эстрагон","кг","11.5","32.8"
"225","Зелень базилик","кг","11.5","32.8"
"226","Зелень бамбуковый лист","кг","11.5","32.8"
"227","Зефир","кг","80","316.4"
"228","Изделие кондитерское, обогащенное железом (гемоглобином)","кг","89.59999999999999","456.4"
"229","Изюм","кг","81","271.2"
"230","Икра Белужья зернистая","кг","45.8","236.6"
"231","Икра Лососевая","кг","53.1","250.6"
"232","Икра Осетровая зернистая","кг","42","202.9"
"233","Икра из баклажан (пром. производства)","кг","26.4","146.9"
"234","Икра из кабачков (пром. производства)","кг","23","123.2"
"235","Икра кетовая","кг","45.7","248.8"
"236","Икра летучей рыбы Красная","кг","49.4","280.6"
"237","Икра летучей рыбы Оранжевая","кг","49.4","280.6"
"238","Икра летучей рыбы Черная","кг","49.4","280.6"
"239","Икра летучей рыбы зеленая (Вассабико)","кг","86.90000000000001","498.1"
"240","Икра минтаевая пробойная","кг","36.8","130.7"
"241","Икра мойвы","кг","41.6","296.4"
"242","Икра судака свежая","кг","22","88"
"243","Имбирь маринованный (для роллов, суши)","кг","3.5","15.5"
"244","Имбирь свежий (корень)","кг","21.1","77.09999999999999"
"245","Индейка Филе грудки","кг","25.1","104.8"
"246","Индейка сыровяленная, копченая","кг","39","198"
"247","Индейка целая (тушка 1 категории)","кг","42.7","276"
"248","Инжир","кг","18","49.4"
"249","Инжир сушеный","кг","83.2","240.4"
"250","Ирис полутвердый","кг","93.5","407.9"
"251","Йогурт 1,5% жирности","кг","12","47.5"
"252","Йогурт 1,5% жирности сладкий","кг","17","67.5"
"253","Йогурт 3,2% жирности","кг","13.7","62.8"
"254","Йогурт 3,2% жирности сладкий","кг","18.7","82.8"
"255","Йогурт 6% жирности","кг","16.5","88"
"256","Йогурт 6% жирности сладкий","кг","21.5","108"
"257","Кабан мякоть","кг","27.5","116"
"258","Кабачки, Цуккини","кг","7","24.7"
"259","Какао порошок","кг","96","365.9"
"260","Кактус маринованный","кг","9.199999999999999","31.4"
"261","Кальмар Банно-Монго","кг","19.7","75.3"
"262","Кальмар копченый","кг","45.7","191"
"263","Кальмар филе с кожицей с/м","кг","23.6","109.8"
"264","Камбала азово-черноморская неразделанная","кг","21.1","84.5"
"265","Каперсы маринованные","кг","16.2","23.9"
"266","Капуста Пекинская (Китайская)","кг","10","26.9"
"267","Капуста белокочанная","кг","10","26.9"
"268","Капуста белокочанная квашенная","кг","11","16"
"269","Капуста брокколи","кг","11.8","32.9"
"270","Капуста брюссельская свежемороженая","кг","14","42.8"
"271","Капуста морская сушеная","кг","88.2","150"
"272","Капуста по - грузински","кг","10.3","26.9"
"273","Капуста савойская","кг","10","26.9"
"274","Капуста цветная","кг","10","30.7"
"275","Каракатица разделанная","кг","23.6","109.8"
"276","Карамбола","кг","8.6","34.1"
"277","Карамель","кг","96.40000000000001","383.7"
"278","Карась речной","кг","21.1","87"
"279","Карбонат копченый","кг","62.6","468.6"
"280","Кармашки кукурузные Тако","кг","92","458"
"281","Карп, сазан","кг","23.7","116.5"
